自创语词汇,IPA音标,TTS友好拼写
anim,/ˈa.nim/,AH-neem
spiritus,/ˈspi.ri.tus/,SPI-ri-tus
vit,/viːt/,veet
mort,/mɔrt/,mohrt
renasc,/reˈnaːsk/,reh-NAHSK
esse,/ˈes.se/,ES-seh
temp,/temp/,temp
aetern,/aeˈtern/,ai-TERN
praeter,/ˈprae.ter/,PRI-tehr
nunc,/nunk/,noonk
futur,/fuˈtur/,foo-TOOR
hodi,/ˈho.di/,HOH-dee
cras,/kras/,krahs
heri,/ˈhe.ri/,HEH-ree
mane,/ˈma.ne/,MAH-neh
meridi,/meˈri.di/,meh-RI-dee
vesper,/ˈwes.per/,WES-pehr
nox,/noks/,noks
lucis,/ˈlu.kis/,LOO-kis
tenebr,/ˈte.ne.br/,TEH-neh-br
ign,/iŋn/,ing
aqu,/akʷ/,ah-kw
terr,/ter/,tehr
aer,/a.er/,ai-ehr
cael,/ka.el/,KAI-el
tellus,/ˈtel.lus/,TEL-lus
mar,/mar/,mahr
fluv,/fluː/,floo
lacus,/ˈla.kus/,LAH-kus
mont,/mont/,mohnt
silv,/silwa/,SIL-wah
petr,/ˈpe.tr/,PEH-tr
metall,/meˈtal/,meh-TAHL
lign,/liɲ/,leeng
ego,/ˈe.go/,EH-goh
tu,/tuː/,too
il,/il/,eel
nos,/noːs/,nohs
vos,/woːs/,wohs
ilz,/ilz/,eelz
hic,/hik/,hik
quis,/kʷis/,kwis
quid,/kʷid/,kwid
ubi,/ˈu.bi/,OO-bee
cur,/kur/,koor
quomod,/kʷoˈmoːd/,kwoh-MOHD
sui,/su.i/,soo-ee
omnes,/ˈom.nes/,OM-nes
aliquis,/aˈli.kʷis/,ah-LI-kwis
nemo,/ˈne.mo/,NEH-moh
magn,/maŋn/,mahgn
parv,/parw/,pahrw
alt,/alt/,aht
humil,/ˈhu.mil/,HOO-mil
long,/loːŋ/,lohng
brev,/brev/,brehv
lat,/lat/,laht
angust,/aŋˈɡus/,ang-GOOST
grav,/ɡraw/,grahv
lev,/leːw/,layv
dur,/dur/,door
molli,/ˈmol.li/,MOL-lee
calid,/ˈka.lid/,KAH-lid
frigid,/ˈfri.dʒid/,FRI-jid
nov,/now/,nohv
vet,/weːt/,wayt
bon,/boːn/,bohn
mal,/mal/,mahl
formos,/forˈmoːs/,for-MOHS
turp,/turp/,toorp
fort,/fort/,fohrt
infirm,/inˈfir.m/,in-FIRM
sapient,/saˈpi.ent/,sah-PI-ent
stult,/stult/,stoolt
audax,/auˈdaks/,ow-DAKS
timid,/ˈti.mid/,TI-mid
laet,/la.et/,lah-ET
trist,/trist/,trist
irat,/iˈrat/,i-RAHT
tranquil,/tranˈkʷi.l/,trahn-KWIL
plus,/plus/,ploos
minus,/ˈmi.nus/,MI-nus
optim,/opˈti.m/,op-TIM
pessim,/pesˈsi.m/,pes-SIM
ambul,/amˈbu.l/,am-BOO-l
curr,/kur/,koor
salt,/salt/,saht
scand,/skand/,skahnd
nat,/naːt/,naht
vol,/wol/,wohl
sed,/sed/,sed
stat,/staːt/,staht
iac,/jak/,yak
vid,/wid/,weed
aud,/aud/,owd
olfact,/olˈfakt/,ol-FAKT
gust,/ɡust/,goost
tang,/taŋɡ/,tahng
dic,/dik/,deek
clam,/klam/,klahm
cant,/kant/,kahnt
plor,/plor/,plor
rid,/rid/,reed
ed,/ed/,ed
bib,/bib/,bib
spir,/spir/,speer
dorm,/dorm/,dorm
vigil,/ˈwi.ɡil/,WEE-gil
cogit,/ˈko.ɡit/,KOH-git
sci,/skiː/,skee
disc,/disk/,disk
doc,/dok/,dok
am,/am/,ahm
odi,/oːdi/,OH-dee
vol,/wol/,wohl
neces,/neˈkes/,neh-KES
pot,/pot/,poht
deb,/deb/,deb
don,/don/,dohn
cap,/kap/,kahp
fac,/fak/,fahk
aedific,/aeˈdi.fik/,ai-DI-fik
destru,/deˈstru/,deh-STROO
aper,/aˈper/,ah-PEHR
claud,/klawd/,klowd
intr,/intr/,intr
ex,/eks/,eks
ven,/wen/,wen
eo,/e.o/,eh-oh
man,/man/,mahn
mut,/mut/,moot
initi,/iˈni.ti/,i-NEE-tee
fin,/fin/,fin
adiuv,/aˈdi.uw/,ah-DI-oo
noc,/nok/,nohk
proteg,/proˈteɡ/,proh-TEHG
bell,/bel/,bel
vinc,/wink/,wingk
defeat,/de.feˈat/,deh-feh-AHT
hab,/hab/,hahb
ten,/ten/,ten
est,/est/,est
ha,/ha/,hah
in,/in/,in
super,/ˈsu.per/,SOO-pehr
sub,/sub/,soob
ante,/ˈan.te/,AHN-teh
post,/post/,pohst
inter,/ˈin.ter/,IN-tehr
proxim,/ˈprok.sim/,PROK-sim
long,/loŋ/,lohng
ad,/ad/,ad
ex,/eks/,eks
per,/per/,pehr
cum,/kum/,koom
sine,/ˈsi.ne/,SEE-neh
de,/de/,deh
pro,/pro/,proh
et,/et/,et
aut,/aut/,owt
sed,/sed/,sed
quia,/ˈkwi.a/,KWEE-ah
si,/si/,see
quamvis,/kʷamˈwis/,kwahm-WIS
cum,/kum/,koom
unus,/ˈu.nus/,OO-nus
duo,/ˈdu.o/,DOO-oh
tres,/tres/,tres
quattuor,/kʷatˈtu.or/,kwah-TOO-or
quinque,/ˈkwin.kwe/,KWIN-kweh
sex,/seks/,seks
septem,/ˈsep.tem/,SEP-tehm
octo,/ˈok.to/,OK-toh
novem,/ˈno.wem/,NOH-wehm
decem,/ˈde.kem/,DEH-kehm
undecim,/unˈde.kim/,oon-DEH-kim
duodecim,/duoˈde.kim/,doo-oh-DEH-kim
tredecim,/treˈde.kim/,treh-DEH-kim
quattuordecim,/kʷat.tuˈor.de.kim/,kwah-too-OR-deh-kim
quindecim,/kwinˈde.kim/,kwin-DEH-kim
sedecim,/seˈde.kim/,seh-DEH-kim
septendecim,/sep.tenˈde.kim/,sep-ten-DEH-kim
duodeviginti,/duo.de.wiˈɡin.ti/,doo-oh-deh-wee-GIN-tee
undeviginti,/un.de.wiˈɡin.ti/,oon-deh-wee-GIN-tee
viginti,/wiˈɡin.ti/,wee-GIN-tee
viginti unus,/wiˈɡin.ti ˈu.nus/,wee-GIN-tee OO-nus
viginti duo,/wiˈɡin.ti ˈdu.o/,wee-GIN-tee DOO-oh
viginti tres,/wiˈɡin.ti tres/,wee-GIN-tee tres
viginti quattuor,/wiˈɡin.ti kʷatˈtu.or/,wee-GIN-tee kwah-TOO-or
viginti quinque,/wiˈɡin.ti ˈkwin.kwe/,wee-GIN-tee KWIN-kweh
viginti sex,/wiˈɡin.ti seks/,wee-GIN-tee seks
viginti septem,/wiˈɡin.ti ˈsep.tem/,wee-GIN-tee SEP-tehm
viginti octo,/wiˈɡin.ti ˈok.to/,wee-GIN-tee OK-toh
viginti novem,/wiˈɡin.ti ˈno.wem/,wee-GIN-tee NOH-wehm
triginta,/triˈɡin.ta/,tree-GIN-tah
triginta unus,/triˈɡin.ta ˈu.nus/,tree-GIN-tah OO-nus
quadraginta,/kʷa.draˈɡin.ta/,kwah-drah-GIN-tah
quinquaginta,/kʷin.kʷaˈɡin.ta/,kwin-kwah-GIN-tah
sexaginta,/sek.saˈɡin.ta/,seks-sah-GIN-tah
septuaginta,/sep.tu.aˈɡin.ta/,sep-too-ah-GIN-tah
octoginta,/ok.toˈɡin.ta/,ok-toh-GIN-tah
nonaginta,/no.naˈɡin.ta/,noh-nah-GIN-tah
centum,/ˈken.tum/,KEN-toom
primus,/ˈpri.mus/,PREE-mus
secundus,/seˈkun.dus/,seh-KOON-dus
tertius,/ˈter.ti.us/,TER-shus
quartus,/ˈkwar.tus/,KWAR-tus
quintus,/ˈkwin.tus/,KWIN-tus
sextus,/ˈsek.stus/,SEK-stus
septimus,/ˈsep.ti.mus/,SEP-ti-mus
octavus,/okˈta.wus/,ok-TAH-woos
nonus,/ˈno.nus/,NOH-nus
decimus,/ˈde.ki.mus/,DEH-ki-mus
undecimus,/unˈde.ki.mus/,oon-DEH-ki-mus
duodecimus,/duoˈde.ki.mus/,doo-oh-DEH-ki-mus
tertius decimus,/ˈter.ti.us ˈde.ki.mus/,TER-shus DEH-ki-mus
quartus decimus,/ˈkwar.tus ˈde.ki.mus/,KWAR-tus DEH-ki-mus
quintus decimus,/ˈkwin.tus ˈde.ki.mus/,KWIN-tus DEH-ki-mus
sextus decimus,/ˈsek.stus ˈde.ki.mus/,SEK-stus DEH-ki-mus
septimus decimus,/ˈsep.ti.mus ˈde.ki.mus/,SEP-ti-mus DEH-ki-mus
duodevicesimus,/duo.de.wiˈke.si.mus/,doo-oh-deh-wee-KEH-si-mus
undevicesimus,/un.de.wiˈke.si.mus/,oon-deh-wee-KEH-si-mus
vicesimus,/wiˈke.si.mus/,wee-KEH-si-mus
ah,/ah/,ah
oh,/oh/,oh
he,/he/,heh
va,/wa/,wah
ita,/ˈi.ta/,EE-tah
minime,/ˈmi.ni.me/,MI-ni-meh
quaeso,/kʷaˈe.so/,kwai-SOH
gratias,/ˈɡra.ti.as/,GRAH-ti-ahs
paenitet,/paiˈni.tet/,pie-NI-teht
salve,/ˈsal.we/,SAHL-weh
vale,/ˈwa.le/,WAH-leh
